"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity"
"98",5,0.5,0.445555555555556,18,1570,948,1339,663,0.725122095310416,0.492880403827843,0.410435610860611,0.703090013434841,0.414516834280717
"99",5,0.5,0.445555555555556,19,409,272,523,360,0.685023431557769,0.288390723718071,0.356712952284295,0.53185955786736,0.342138364779874
"100",5,0.5,0.445555555555556,20,196,127,190,129,0.66265954865324,0.337765182186235,0.335688534088714,0.603076923076923,0.400630914826498
"101",6,0.5,0.556444444444444,1,259,149,251,142,0.669763092269327,0.435673763797677,0.423272200772201,0.645885286783042,0.3725
"102",6,0.5,0.556444444444444,2,409,476,543,548,0.484413694660387,-0.074590446280292,-0.09300311202075,0.427377220480669,0.467124631992149
"103",6,0.5,0.556444444444444,3,315,227,326,275,0.657444754344561,0.209342830404492,0.231148999684262,0.533898305084746,0.410488245931284
"104",6,0.5,0.556444444444444,4,1184,1332,1855,1857,0.56420386709531,-0.049140453337186,-0.0734625039221841,0.389345609996712,0.41794791339818
"105",6,0.5,0.556444444444444,5,234,219,304,312,0.522751945314087,0.0169172932330829,0.0229445506692162,0.428571428571429,0.418738049713193
"106",6,0.5,0.556444444444444,6,375,244,348,211,0.692780878147772,0.387470087481856,0.355927927927928,0.639931740614334,0.412162162162162
"107",6,0.5,0.556444444444444,7,287,252,344,336,0.571458196429918,0.0655866213744448,0.0821738418726471,0.460674157303371,0.422818791946309
"108",6,0.5,0.556444444444444,8,302,267,522,463,0.574776543486004,0.08520021035234,0.142786996701332,0.394771241830065,0.338403041825095
"109",6,0.5,0.556444444444444,9,450,225,309,72,0.806308924189591,0.761633746233679,0.51123595505618,0.862068965517241,0.421348314606742
"110",6,0.5,0.556444444444444,10,297,297,329,348,0.449522005101914,-0.0265922103626208,-0.0303514376996805,0.46046511627907,0.47444089456869
"111",6,0.5,0.556444444444444,11,1137,663,1229,718,0.705583161901723,0.404132389096388,0.428289925083813,0.612938005390836,0.350422832980973
"112",6,0.5,0.556444444444444,12,603,320,480,175,0.71598971722365,0.625107112253642,0.483913764510779,0.775064267352185,0.4
"113",6,0.5,0.556444444444444,13,306,232,306,146,0.626023949731881,0.432095552085141,0.363024515878223,0.676991150442478,0.431226765799256
"114",6,0.5,0.556444444444444,14,233,233,345,321,0.412870223476947,0.0292575733793753,0.041522491349481,0.42057761732852,0.403114186851211
"115",6,0.5,0.556444444444444,15,203,167,250,214,0.586632851991788,0.144,0.177339901477833,0.486810551558753,0.400479616306954
"116",6,0.5,0.556444444444444,16,910,481,584,93,0.900036510187747,0.830909668255507,0.502199865861838,0.907278165503489,0.451643192488263
"117",6,0.5,0.556444444444444,17,303,175,299,152,0.660905550146056,0.470410525928921,0.445593293506566,0.665934065934066,0.369198312236287
"118",6,0.5,0.556444444444444,18,1575,950,1337,658,0.72594392926706,0.495951962823239,0.411067385706651,0.705329153605016,0.415391342369917
"119",6,0.5,0.556444444444444,19,409,272,523,360,0.684912203220715,0.288390723718071,0.356712952284295,0.53185955786736,0.342138364779874
"120",6,0.5,0.556444444444444,20,196,127,190,129,0.66253336568794,0.337765182186235,0.335688534088714,0.603076923076923,0.400630914826498
"121",7,0.5,0.667333333333333,1,259,149,251,142,0.669638403990025,0.435673763797677,0.423272200772201,0.645885286783042,0.3725
"122",7,0.5,0.667333333333333,2,409,477,542,548,0.483629226514408,-0.0765730854800712,-0.0952993370460038,0.427377220480669,0.46810598626104
"123",7,0.5,0.667333333333333,3,321,228,325,269,0.662348668280872,0.224213820078227,0.242196346183096,0.544067796610169,0.412296564195298
"124",7,0.5,0.667333333333333,4,1184,1332,1855,1857,0.563632551551761,-0.049140453337186,-0.0734625039221841,0.389345609996712,0.41794791339818
"125",7,0.5,0.667333333333333,5,237,219,304,309,0.525168267042072,0.0263700115673801,0.0353123411670743,0.434065934065934,0.418738049713193
"126",7,0.5,0.667333333333333,6,375,247,345,211,0.690520939027765,0.382143740416481,0.348009009009009,0.639931740614334,0.41722972972973
