"","rep","model","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity","avg_metric"
"39",39,"LMERR",1598,569,1362,271,0.851661342534675,0.794427434555138,0.655362509714046,0.855002675227394,0.294665976178146,0.724894972134592
"40",40,"LMERR",5203,1600,3896,377,0.884017392251387,0.904690777417147,0.687785095431171,0.932437275985663,0.291120815138282,0.796237936424159
"41",41,"LMERR",1117,488,1296,659,0.750654907990951,0.489221860749639,0.565074611286638,0.628941441441441,0.273542600896861,0.527148236018138
"42",42,"LMERR",1966,790,1998,902,0.777391563064659,0.561141336594614,0.586638565805202,0.685495118549512,0.283357245337159,0.573889951199908
"43",43,"LMERR",837,273,799,287,0.817126417512084,0.657418748524624,0.65801369496603,0.744661921708185,0.254664179104478,0.657716221745327
"44",44,"LMERR",1638,552,1510,430,0.83289519105036,0.716058001460284,0.662023072304353,0.792069632495164,0.267701260911736,0.689040536882318
"45",45,"LMERR",1265,359,1017,146,0.904350473027541,0.860001519177526,0.708986924349664,0.89652728561304,0.260901162790698,0.784494221763595
"46",46,"LMERR",791,319,779,293,0.82414982961305,0.619019084927692,0.601855114113927,0.729704797047971,0.290528233151184,0.610437099520809
"47",47,"LMERR",5358,1704,4526,976,0.874763081456493,0.787897759721364,0.676661891400747,0.845910956741396,0.273515248796148,0.732279825561056
"48",48,"LMERR",1506,595,1727,899,0.765446663121082,0.497409252823266,0.590791299344683,0.626195426195426,0.256244616709733,0.544100276083974
"49",49,"LMERR",1556,430,1319,217,0.907390316019758,0.837708411104654,0.719858281118406,0.877608573040045,0.245854774156661,0.77878334611153
"50",50,"LMERR",1082,265,949,161,0.880976300892908,0.834305832366203,0.749232612740456,0.870474658085278,0.21828665568369,0.791769222553329
"51",1,"GLM",584,517,757,766,0.510681725681726,0.045076569303782,0.0619153351540825,0.432592592592593,0.405808477237049,0.0534959522289323
"52",2,"GLM",1465,1513,1511,1449,0.504432170183714,0.00483255485851397,0.00480298679957358,0.502745367192862,0.500330687830688,0.00481777082904378
"53",3,"GLM",536,530,847,938,0.523406437805033,-0.0345604808414726,-0.0584604212055191,0.363636363636364,0.384894698620189,-0.0465104510234958
"54",4,"GLM",1110,1063,867,823,0.515276664638445,0.0522229402396667,0.0408537553097138,0.574236937403001,0.550777202072539,0.0465383477746902
"55",5,"GLM",332,323,968,997,0.510202600745218,-0.000509144388684657,-0.00152818866480642,0.249811888638074,0.250193648334624,-0.00101866652674554
"56",6,"GLM",794,811,1796,1751,0.504598771781881,0.00130457992220201,0.00288073477819339,0.311984282907662,0.31108553893364,0.0020926573501977
"57",7,"GLM",444,429,696,697,0.506741065342292,0.0126061531022394,0.0200420420420422,0.389132340052585,0.381333333333333,0.0163240975721408
"58",8,"GLM",670,717,1466,1423,0.514662666099659,-0.01240769432833,-0.0260294952174538,0.320114667940755,0.328447091158956,-0.0192185947728919
"59",9,"GLM",583,601,563,565,0.502597525054779,-0.0175391908702136,-0.0167046854461754,0.507839721254355,0.516323024054983,-0.0171219381581945
"60",10,"GLM",466,492,907,921,0.513816388572948,-0.0242208124107222,-0.0467378599674202,0.335976928622927,0.351679771265189,-0.0354793361890712
"61",11,"GLM",562,547,740,701,0.51278852228971,0.0347018039417091,0.0448406871894417,0.444972288202692,0.425019425019425,0.0397712455655754
"62",12,"GLM",702,760,1149,1179,0.513606189545645,-0.0413840202214533,-0.0667418839236544,0.373205741626794,0.398114195914091,-0.0540629520725538
"63",13,"GLM",679,699,1200,1204,0.496762558039184,-0.0118587360594797,-0.0207814204980374,0.360594795539033,0.368088467614534,-0.0163200782787586
"64",14,"GLM",652,609,685,720,0.508408960846427,0.00866123300206445,0.0096481163652915,0.475218658892128,0.470633693972179,0.00915467468367798
"65",15,"GLM",895,884,1962,1835,0.507175355682032,0.0249894515949561,0.052548514626036,0.327838827838828,0.310611384399157,0.0387689831104961
"66",16,"GLM",3075,3038,3168,3187,0.494920188301304,0.0029989894150706,0.00311757046026806,0.491057170233152,0.489526264904931,0.00305827993766933
"67",17,"GLM",802,782,663,663,0.50081887643634,0.0136518771331057,0.0114419832771011,0.547440273037543,0.541176470588235,0.0125469302051034
"68",18,"GLM",958,943,1143,1114,0.505607339979344,0.0187865030384715,0.0222639447394599,0.462355212355212,0.452061361457335,0.0205252238889657
"69",19,"GLM",510,525,857,866,0.509700877982701,-0.0149080079238013,-0.0249425385204733,0.370639534883721,0.379884225759768,-0.0199252732221373
"70",20,"GLM",1782,1734,3615,3527,0.504005973552708,0.0169920490453461,0.0342126317074906,0.335656432473159,0.324172742568704,0.0256023403764183
"71",21,"GLM",695,705,895,897,0.508247683731156,-0.00727099183066171,-0.00931654676258997,0.436557788944724,0.440625,-0.00829376929662584
"72",22,"GLM",987,1029,1294,1183,0.505421243386611,0.0213217330607767,0.026112602009507,0.454838709677419,0.442961687473095,0.0237171675351419
"73",23,"GLM",255,260,1045,1079,0.495927036481759,-0.010089452881215,-0.0422657952069718,0.191154422788606,0.199233716475096,-0.0261776240440934
"74",24,"GLM",1175,1175,1812,1696,0.508791084365701,0.0262001917631056,0.0388349514563107,0.409265064437478,0.393371275527285,0.0325175716097081
"75",25,"GLM",555,540,657,687,0.500746296767146,-0.00777579246906224,-0.00955090428774641,0.446859903381642,0.451127819548872,-0.00866334837840432
"76",26,"GLM",1573,1606,2158,2189,0.498566507120537,-0.0149044220065144,-0.0204365241559714,0.41812865497076,0.426673751328374,-0.0176704730812429
"77",27,"GLM",401,423,1068,1046,0.497735549440388,-0.00918211254591061,-0.0237334229817807,0.277125086385625,0.283702213279678,-0.0164577677638457
"78",28,"GLM",783,757,929,937,0.514428156638804,0.0113262572909104,0.0137091728289012,0.455232558139535,0.448991696322657,0.0125177150599058
"79",29,"GLM",454,444,772,825,0.503952062157936,-0.0160139681665161,-0.0286416067702295,0.354964816262705,0.365131578947368,-0.0223277874683728
"80",30,"GLM",331,350,361,362,0.510393263557821,-0.0288160592869735,-0.030632146544801,0.477633477633478,0.492264416315049,-0.0297241029158872
"81",31,"GLM",595,553,820,790,0.514046029538206,0.0449326406621466,0.0624651900089971,0.429602888086643,0.402767662053897,0.0536989153355719
"82",32,"GLM",547,510,628,598,0.506540625167881,0.0535921898033545,0.0619066131607779,0.477729257641921,0.448154657293497,0.0577494014820662
"83",33,"GLM",677,702,829,905,0.524080920149196,-0.0564836009448881,-0.0714692996631892,0.427939317319848,0.458523840627041,-0.0639764503040386
"84",34,"GLM",1408,1455,1174,1241,0.50357793068313,-0.0490889493833615,-0.0412420791694041,0.531521328803322,0.553442373526056,-0.0451655142763828
"85",35,"GLM",1315,1216,3940,3962,0.505916540932568,0.0174739723866334,0.0535841442802066,0.249194618154254,0.235841737781226,0.03552905833342
"86",36,"GLM",695,672,991,1033,0.506663966281375,-0.00317148316328431,-0.00469897082934989,0.402199074074074,0.40408899579074,-0.0039352269963171
"87",37,"GLM",458,392,705,683,0.52257251671158,0.0685649641660605,0.10977536990522,0.401402278702892,0.357338195077484,0.0891701670356401
"88",38,"GLM",702,722,861,867,0.499512627595545,-0.0159537022849059,-0.0193940964629529,0.447418738049713,0.456096020214782,-0.0176738993739294
"89",39,"GLM",834,862,1069,1035,0.498518996331156,-0.000312318408617562,-0.000387468378482136,0.446227929373997,0.446400828586225,-0.000349893393549849
"90",40,"GLM",2798,2745,2751,2782,0.506107439493304,0.00395476913575898,0.00394776680785713,0.501433691756272,0.499454148471616,0.00395126797180806
"91",41,"GLM",683,680,1104,1093,0.503513147396275,0.00550414544979749,0.00885699466216705,0.384572072072072,0.381165919282511,0.00718057005598227
"92",42,"GLM",1209,1141,1647,1659,0.501673027359735,0.020811263283312,0.029164337768031,0.421548117154812,0.409253945480631,0.0249878005256715
"93",43,"GLM",464,481,591,660,0.512238905561162,-0.065086619578373,-0.086922606793618,0.412811387900356,0.448694029850746,-0.0760046131859955
"94",44,"GLM",794,784,1278,1274,0.503682271254552,0.00602216349893914,0.00972130943277305,0.38394584139265,0.380213385063046,0.00787173646585609
"95",45,"GLM",623,595,781,788,0.509706490119163,0.0160645595109216,0.0206509668147373,0.44153082919915,0.432412790697674,0.0183577631628294
"96",46,"GLM",357,352,746,727,0.494730859193838,0.0128829773552427,0.0265774798079523,0.329335793357934,0.320582877959927,0.0197302285815975
"97",47,"GLM",1978,1876,4354,4356,0.501584812479822,0.0159675187347007,0.0357346542302405,0.312282917587622,0.301123595505618,0.0258510864824706
"98",48,"GLM",1168,1181,1141,1237,0.509601551462017,-0.0467216086847988,-0.0472730316330985,0.485654885654886,0.508613264427218,-0.0469973201589486
"99",49,"GLM",587,606,1143,1186,0.503791385747137,-0.023574675838955,-0.0465342571028664,0.331077270163565,0.346483704974271,-0.0350544664709107
"100",50,"GLM",304,309,905,939,0.503700790323671,-0.01336189845455,-0.0407282363652128,0.244569589702333,0.254530477759473,-0.0270450674098814
"101",1,"XGB",172,141,1133,1178,0.513897319611605,0.0188146840574025,0.131329633821328,0.127407407407407,0.110675039246468,0.0750721589393654
"102",2,"XGB",164,142,2882,2750,0.50446076775864,0.00978168043716299,0.165642340947219,0.0562800274536719,0.046957671957672,0.0877120106921908
"103",3,"XGB",199,204,1173,1275,0.512113132101426,-0.0154268184767861,-0.0973385445747255,0.135006784260516,0.148148148148148,-0.0563826815257558
"104",4,"XGB",325,295,1635,1608,0.512244517770171,0.0180401239694918,0.0908967716221604,0.168132436627005,0.152849740932642,0.0544684477958261
"105",5,"XGB",47,52,1239,1282,0.505789924924479,-0.00512015138789446,-0.138948860358949,0.0353649360421369,0.040278853601859,-0.072034505873422
"106",6,"XGB",154,175,2432,2391,0.500445679344488,-0.00709224097818217,-0.109338494263696,0.0605108055009823,0.0671269658611431,-0.0582153676209389
"107",7,"XGB",75,75,1050,1066,0.49919018404908,-0.00100162764492295,-0.0142222222222221,0.0657318141980719,0.0666666666666667,-0.00761192493357254
"108",8,"XGB",46,54,2129,2047,0.509945132642259,-0.00282854768528784,-0.125515345854327,0.021978021978022,0.0247366010077874,-0.0641719467698074
"109",9,"XGB",77,87,1077,1071,0.515892722439743,-0.00828860656294572,-0.114339268978443,0.0670731707317073,0.0747422680412371,-0.0613139377706946
"110",10,"XGB",183,213,1186,1204,0.516872439011695,-0.0239601405972831,-0.153950714210384,0.131939437635184,0.152251608291637,-0.0889554274038338
