"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity","avg_metric","Kappa"
"76",8,1.625,0.501,6,1095,409,1529,775,0.715590111642743,0.474701230750937,0.639589842185372,0.585561497326203,0.211042311661507,0.557145536468154,0.624190390118994
"77",8,1.625,0.501,7,4954,1016,5360,1376,0.848105913070539,0.741418028341704,0.796392811355056,0.7826224328594,0.159347553324969,0.76890541984838,0.376597227385148
"78",8,1.625,0.501,8,1362,480,1882,920,0.748765510889997,0.494021036043294,0.659513516134687,0.596844872918493,0.203217612193057,0.576767276088991,0.605083235240905
"79",8,1.625,0.501,9,769,314,1270,796,0.612119195146352,0.365618978138915,0.596575310977132,0.491373801916933,0.198232323232323,0.481097144558023,0.706316044295523
"80",8,1.625,0.501,10,656,266,1036,616,0.76436650436194,0.391381947985722,0.603855232100708,0.515723270440252,0.204301075268817,0.497618590043215,0.687587452616582
"81",9,1.625,0.7505,1,426,178,662,363,0.752177258736194,0.416217706454688,0.60752850435949,0.539923954372624,0.211904761904762,0.511873105407089,0.66962924127241
"82",9,1.625,0.7505,2,913,330,1360,799,0.67759705248023,0.42004964953271,0.633849005489413,0.533294392523365,0.195266272189349,0.526949327511062,0.662573543897249
"83",9,1.625,0.7505,3,1702,440,1637,375,0.843580063556911,0.770922419059255,0.741480611045828,0.819451131439576,0.211844005777564,0.756201515052542,0.392392874337987
"84",9,1.625,0.7505,4,1304,323,1271,295,0.855569627504016,0.768625060214168,0.751523639260725,0.815509693558474,0.202634880803011,0.760074349737446,0.387108354886501
"85",9,1.625,0.7505,5,784,259,920,445,0.758977108898537,0.535982771429582,0.655632800193869,0.637917005695688,0.219677692960136,0.595807785811726,0.583098577984523
"86",9,1.625,0.7505,6,1094,403,1535,776,0.714675391687776,0.476079360379035,0.644552423105295,0.585026737967914,0.207946336429309,0.560315891742165,0.621595413163618
"87",9,1.625,0.7505,7,4915,999,5377,1415,0.847259061429016,0.734929741415149,0.798211055956276,0.776461295418641,0.15668130489335,0.766570398685712,0.380073045913271
"88",9,1.625,0.7505,8,1340,473,1889,942,0.743232572998862,0.483841363974001,0.658970389374044,0.587204206836109,0.200254022015241,0.571405876674023,0.611698344765648
"89",9,1.625,0.7505,9,760,308,1276,805,0.610305531351857,0.361463038448827,0.599597953216374,0.485623003194888,0.194444444444444,0.4805304958326,0.708265795718561
"90",9,1.625,0.7505,10,648,256,1046,624,0.75827222753577,0.389371910963599,0.614041076406668,0.509433962264151,0.196620583717358,0.501706493685133,0.686140514132837
"91",10,1.625,1,1,420,178,662,369,0.744403705715493,0.406568412346502,0.601921768707483,0.532319391634981,0.211904761904762,0.504245090526992,0.677213270617634
"92",10,1.625,1,2,912,324,1366,800,0.677918486976718,0.421874358588415,0.640112114606042,0.532710280373832,0.191715976331361,0.530993236597229,0.659621682267754
"93",10,1.625,1,3,1698,432,1645,379,0.843469723307917,0.769604863221884,0.745583038869258,0.817525276841598,0.207992296581608,0.757593951045571,0.39046701974001
"94",10,1.625,1,4,1300,322,1272,299,0.85527497973561,0.765672137853454,0.751530740276035,0.813008130081301,0.202007528230866,0.758601439064745,0.38898561391993
"95",10,1.625,1,5,778,258,921,451,0.754435327755659,0.530236971346637,0.654316869117003,0.633034987794955,0.21882951653944,0.59227692023182,0.587169215361504
"96",10,1.625,1,6,1095,395,1543,775,0.714284945613483,0.479467389383138,0.651926620203477,0.585561497326203,0.203818369453044,0.565697004793307,0.616891064871481
"97",10,1.625,1,7,4885,989,5387,1445,0.846590430445133,0.729812364973192,0.799004133977338,0.77172195892575,0.155112923462986,0.764408249475265,0.383230690411938
"98",10,1.625,1,8,1330,463,1899,952,0.739537639858674,0.481108881975337,0.663670395293908,0.582822085889571,0.196020321761219,0.572389638634623,0.61178946411933
"99",10,1.625,1,9,757,291,1293,808,0.609023138735599,0.367509988658518,0.620198851126856,0.48370607028754,0.183712121212121,0.493854419892687,0.699410500642974
"100",10,1.625,1,10,646,249,1053,626,0.7546004453719,0.391487036141124,0.623432395029319,0.507861635220126,0.191244239631336,0.507459715585222,0.682297791745356
"101",11,2.75,0.002,1,619,319,521,170,0.79817882793168,0.652613064959897,0.515941610893146,0.784537389100127,0.379761904761905,0.584277337926521,0.59753180323737
"102",11,2.75,0.002,2,1118,550,1140,594,0.735535447658021,0.48564313821938,0.50164600776958,0.65303738317757,0.325443786982249,0.49364457299448,0.672461195868081
"103",11,2.75,0.002,3,1778,692,1385,299,0.825274940779044,0.784115523465704,0.610798650168729,0.856042368801155,0.333172845450169,0.697457086817216,0.477130476649013
"104",11,2.75,0.002,4,1400,647,947,199,0.812221879578124,0.790519814060134,0.536407510306507,0.875547217010632,0.405897114178168,0.66346366218332,0.530143432118401
"105",11,2.75,0.002,5,984,486,693,245,0.777922016078775,0.660847695835491,0.485151740830385,0.800650935720098,0.412213740458015,0.572999718332938,0.609940913368714
"106",11,2.75,0.002,6,1273,583,1355,597,0.758484544957865,0.543388124790339,0.558095946858505,0.680748663101604,0.300825593395253,0.550742035824422,0.620027022969524
"107",11,2.75,0.002,7,5344,2143,4233,986,0.861274643162253,0.765375562280718,0.601882632946153,0.844233807266983,0.336104140526976,0.683629097613436,0.492205142530741
"108",11,2.75,0.002,8,1766,806,1556,516,0.804587089922903,0.656754887360341,0.559059399341978,0.773882559158633,0.341236240474174,0.60790714335116,0.568282779962693
"109",11,2.75,0.002,9,971,492,1092,594,0.708779891567431,0.449440016852158,0.499383640732765,0.620447284345048,0.310606060606061,0.474411828792461,0.690037615148723
"110",11,2.75,0.002,10,898,402,900,374,0.788031717048759,0.574643605870021,0.562653310480022,0.705974842767296,0.308755760368664,0.568648458175022,0.602881627271871
"111",12,2.75,0.2515,1,518,225,615,271,0.769424829500875,0.530866487372098,0.592009100937672,0.656527249683143,0.267857142857143,0.561437794154885,0.610640777403425
"112",12,2.75,0.2515,2,1082,449,1241,630,0.750232953602831,0.49886848863217,0.579625720504435,0.632009345794392,0.265680473372781,0.539247104568303,0.633923042091742
"113",12,2.75,0.2515,3,1766,558,1519,311,0.851974035734014,0.795260039499671,0.684031710079275,0.850264805007222,0.26865671641791,0.739645874789473,0.418391911410688
"114",12,2.75,0.2515,4,1372,438,1156,227,0.858499626884118,0.804247247955578,0.679756631098397,0.858036272670419,0.274780426599749,0.742001939526988,0.416623418515676
"115",12,2.75,0.2515,5,821,374,805,408,0.768965438708729,0.513787404798124,0.525138977993903,0.668022782750203,0.317217981340119,0.519463191396013,0.649400865336268
"116",12,2.75,0.2515,6,1191,520,1418,679,0.766237727852188,0.503744069752532,0.578711682649108,0.636898395721925,0.268317853457172,0.54122787620082,0.630868825812028
"117",12,2.75,0.2515,7,5037,1485,4891,1293,0.877224041676825,0.733715761903331,0.707308638783168,0.795734597156398,0.232904642409034,0.72051220034325,0.437231620580621
"118",12,2.75,0.2515,8,1650,629,1733,632,0.81131407228533,0.622529715230412,0.631699381623175,0.723049956178791,0.266299745977985,0.627114548426793,0.543239620895427
"119",12,2.75,0.2515,9,840,407,1177,725,0.685805337722271,0.376548923591413,0.521288029100529,0.536741214057508,0.256944444444444,0.448918476345971,0.719861838276307
"120",12,2.75,0.2515,10,737,353,949,535,0.776420407887237,0.422952661192516,0.532067354888732,0.57940251572327,0.271121351766513,0.477510008040624,0.691209824036811
"121",13,2.75,0.501,1,459,212,628,330,0.757382762991128,0.440556053377249,0.566168689698102,0.581749049429658,0.252380952380952,0.503362371537675,0.66912971712055
"122",13,2.75,0.501,2,1059,425,1265,653,0.751587471658464,0.490427948727421,0.593453688027669,0.61857476635514,0.251479289940828,0.541940818377545,0.633222459655196
"123",13,2.75,0.501,3,1754,535,1542,323,0.856051988801856,0.7905317769131,0.694982896237172,0.844487241213288,0.257583052479538,0.742757336575136,0.41309581126625
"124",13,2.75,0.501,4,1337,417,1177,262,0.862888740845714,0.778096229429715,0.687129371643288,0.836147592245153,0.261606022584693,0.732612800536502,0.425371068370442
"125",13,2.75,0.501,5,784,349,830,445,0.763019232003511,0.485667650259296,0.535968522268958,0.637917005695688,0.296013570822731,0.510818086264127,0.658661931898434
"126",13,2.75,0.501,6,1153,498,1440,717,0.762764827293146,0.483977272727273,0.583238234354316,0.616577540106952,0.256965944272446,0.533607753540794,0.639648024367544
"127",13,2.75,0.501,7,4957,1366,5010,1373,0.876953105643002,0.72395657342503,0.726418212942472,0.783096366508689,0.214240903387704,0.725187393183751,0.431142267654204
"128",13,2.75,0.501,8,1546,588,1774,736,0.802653168299418,0.570573884930543,0.632545489000595,0.677475898334794,0.248941574936494,0.601559686965569,0.570994494224173
"129",13,2.75,0.501,9,831,381,1203,734,0.684367234646787,0.382451220192331,0.547015734966999,0.530990415335463,0.240530303030303,0.464733477579665,0.70914642533052
"130",13,2.75,0.501,10,673,332,970,599,0.770444478257929,0.367909939700447,0.518053149458029,0.529088050314465,0.254992319508449,0.442981544579238,0.725239825462628
"131",14,2.75,0.7505,1,449,209,631,340,0.750930955398636,0.426343603309371,0.562782373528476,0.569074778200254,0.248809523809524,0.494562988418923,0.678112339716978
"132",14,2.75,0.7505,2,1041,402,1288,671,0.752303959519991,0.485731881639287,0.608805825077162,0.608060747663551,0.237869822485207,0.547268853358225,0.630187287720385
"133",14,2.75,0.7505,3,1741,521,1556,336,0.85829588294105,0.784061696658098,0.700746697300402,0.83822821376986,0.250842561386615,0.74240419697925,0.412614347616755
"134",14,2.75,0.7505,4,1332,400,1194,267,0.86475314323648,0.777081153107627,0.698757728870652,0.833020637898687,0.250941028858218,0.73791944098914,0.417844446881633
"135",14,2.75,0.7505,5,764,334,845,465,0.758999883367115,0.472092093923477,0.54428724316019,0.621643612693247,0.283290924512299,0.508189668541833,0.662410329788069
"136",14,2.75,0.7505,6,1144,480,1458,726,0.761018995270498,0.483950617283951,0.595141700404858,0.611764705882353,0.247678018575851,0.539546158844405,0.635071090047393
"137",14,2.75,0.7505,7,4932,1316,5060,1398,0.876341758985612,0.721707659741865,0.73509617879701,0.77914691943128,0.206398996235885,0.728401919269438,0.42722531142003
"138",14,2.75,0.7505,8,1520,563,1799,762,0.79707774498505,0.561582318349029,0.64215038548955,0.666082383873795,0.238357324301439,0.601866351919289,0.571642347890907
"139",14,2.75,0.7505,9,805,361,1223,760,0.683215945396457,0.371032839688714,0.55693189660581,0.514376996805112,0.22790404040404,0.463982368147262,0.713088335970526
